,match,slot,text,Positivity,Team_Work,Sportsmanship,Spam,Toxic,Report_Misuse,Neutral
442,368,3,"he says he will be right back, there he is , how the fuck did we win that ",,,,,,,
443,368,4,commend my team,,,,,,,
444,368,5,fue ty chaos,,,,,,,
445,368,6,"rly , Stop pls, if continue 1ing, stop it",,,,,,,
446,368,7,RATAS TODOS,,,,,,,
447,369,5,"i will show this game to all my support, how to win, oracle win this shit solo",,,,,,,
448,370,2,can win,,,,,,,
449,370,3,pasue for wat  ,,,,,,,
450,370,4,"cant win bro , warlock has scepter, i has scepter",,,,,,,
451,370,5,wait please,,,,,,,
452,371,7,report pudge,,,,,,,
453,373,1,why so passive  ,,,,,,,
454,374,0,Come guys,,,,,,,
455,376,0,"Fuk this game, Rofl",,,,,,,
456,376,7,"never pick my rune again bitch , he gave up xD, sad he will never reach Walhalla   D, for that shit will make you bleed riki, WTF was that   D",,,,,,,
457,377,0,hf boys love you,,,,,,,
458,377,4,"WHO WANTS TO LIVE FOREVER, holy shit",,,,,,,
459,377,9,now the natures buys right click items,,,,,,,
460,378,5,lol was talking to my brother,,,,,,,
461,378,8,"and wasnt there, cant fuck with oracle ",,,,,,,
462,380,2,"report sf and am, please",,,,,,,
463,380,4,"rofl, Report pudge",,,,,,,
464,381,5,es you in wrong team   ,,,,,,,
465,383,2,"fuck off, WHAT COG, spaxe xreated",,,,,,,
466,383,3,"suck my cock, and travel",,,,,,,
467,383,6,"nice hero, and talent",,,,,,,
468,383,8,"nice feed rhasta, Who",,,,,,,
469,384,0,why not,,,,,,,
470,384,1,rasta won you the game,,,,,,,
471,384,3,I commend your fucking rat,,,,,,,
